time,Ia,Ib,Ic,label
0.0,-0.0036502338685100435,-0.9119472398861067,0.9159666367377594,Healthy
0.001,0.15610428046966468,-0.9915195812656858,0.7957825900501801,Healthy
0.002,0.339151477577733,-1.0342905052715041,0.6745937349815563,Healthy
0.003,0.5071970173665272,-1.0174312567673107,0.5343570745246299,Healthy
0.004,0.6514676976970316,-1.0083087987082004,0.3752718206715158,Healthy
0.005,0.7362132372151676,-0.9606947552691893,0.20203034115268959,Healthy
0.006,0.8306554924229615,-0.8910530367769098,0.06721292753787123,Healthy
0.007,0.8935208666327212,-0.8016089891786271,-0.09885728224124413,Healthy
0.008,0.8990314669537133,-0.7033592468593918,-0.22556603146077797,Healthy
0.009,0.9358162128564964,-0.5804347814268751,-0.36049272104425667,Healthy
0.01,0.9572861571855006,-0.46495940359042437,-0.4922477285976157,Healthy
0.011,0.9229352695879959,-0.37022207931804807,-0.6173691561817681,Healthy
0.012,0.9332495188417702,-0.22751685782500106,-0.6930689341663001,Healthy
0.013,0.8920324337459676,-0.10443227540854554,-0.8095214385375462,Healthy
0.014,0.8258162946375415,0.06271668781518719,-0.8880698791414994,Healthy
0.015,0.7379897577184492,0.2041342687333047,-0.9612537667505984,Healthy
0.016,0.6466395307023343,0.3639165184489903,-1.0030145366606789,Healthy
0.017,0.513786149660778,0.5180680593413202,-1.0390166670665824,Healthy
0.018,0.354265449815837,0.6732297233779014,-1.0256782614408375,Healthy
0.019,0.17289259109689673,0.7847327275794329,-0.986650977484005,Healthy
0.02,0.0002756391239400062,0.9255038244727306,-0.9221544003364217,Healthy
0.021,-0.18540262601223226,0.989425328131811,-0.8103516094122044,Healthy
0.022,-0.3564462575610065,1.0303561674572224,-0.685511827095864,Healthy
0.023,-0.5149251449139466,1.0274608659795772,-0.5258976385977678,Healthy
0.024,-0.6228563060332257,0.9915144723594657,-0.37669672222705225,Healthy
0.025,-0.7607499234108294,0.9578527885454658,-0.22122897297020366,Healthy
0.026,-0.8145821356997061,0.884431324319455,-0.062069768224451975,Healthy
0.027,-0.8666958987881231,0.7862644428718467,0.08480940071756025,Healthy
0.028,-0.9395472364507631,0.6887501549453505,0.22369312668266317,Healthy
0.029,-0.9620095086639625,0.5866036447592129,0.3527253305413744,Healthy
0.03,-0.9684178532079832,0.47666347103933004,0.48748376117459824,Healthy
0.031,-0.9327657620506168,0.34695079418277897,0.5875924976056995,Healthy
0.032,-0.9269404364570939,0.20925199060263736,0.6935524163447101,Healthy
0.033,-0.8849456066400057,0.08107723349660473,0.7950198985797091,Healthy
0.034,-0.8107927124100077,-0.048176890444521454,0.875545908863066,Healthy
0.035,-0.7375112013394131,-0.19699887044773023,0.9601013537021794,Healthy
0.036,-0.6418741010458119,-0.36504644062326824,1.0022323667695234,Healthy
