time,Ia,Ib,Ic,label
0.0,0.025508188384690784,-1.0728625744092288,1.0118830347335626,BrokenRotorBar
0.001,0.2845272177317848,-1.0629642902331446,0.8813499740972921,BrokenRotorBar
0.002,0.550452546241238,-1.0404157943617514,0.7790934978103006,BrokenRotorBar
0.003,0.8239186231800085,-1.120534572091957,0.5261397788158887,BrokenRotorBar
0.004,1.016212942784381,-1.0711645483924372,0.3642671022490403,BrokenRotorBar
0.005,1.0869798224433609,-0.8743443411029435,0.18012101311503237,BrokenRotorBar
0.006,1.3404701821308296,-0.8354187350376204,-0.07217316975063548,BrokenRotorBar
0.007,1.3880968064570427,-0.7712713043080484,-0.23328880728304602,BrokenRotorBar
0.008,1.243375871018381,-0.4906935064975775,-0.3657631256200172,BrokenRotorBar
0.009,1.191643207530543,-0.451627927962047,-0.5623132095490637,BrokenRotorBar
0.01,1.1043968891935176,-0.2856477210695713,-0.6566628873732009,BrokenRotorBar
0.011,1.1058826202505276,-0.10002993928982509,-0.7082089048733644,BrokenRotorBar
0.012,0.8226551230630252,0.03982001797009016,-0.8756474804003189,BrokenRotorBar
0.013,0.9052191501335931,0.14429857190502876,-0.7726201745323349,BrokenRotorBar
0.014,0.6408070145461053,0.2927046233501396,-0.8288604940722479,BrokenRotorBar
0.015,0.49625819060188214,0.4017379085177554,-0.8240851714856352,BrokenRotorBar
0.016,0.38538227242580037,0.3752595499371681,-0.7055925280533262,BrokenRotorBar
0.017,0.34155259701899204,0.44098001384071484,-0.7714959492993322,BrokenRotorBar
0.018,0.15782875106630728,0.5326614422899313,-0.7975121033259183,BrokenRotorBar
0.019,0.11941168604893967,0.5189523644519818,-0.6755499670100401,BrokenRotorBar
0.02,0.08355423744991729,0.599353344097267,-0.6318921523394291,BrokenRotorBar
0.021,-0.06348764466988674,0.6783876159382376,-0.6692819909810531,BrokenRotorBar
0.022,-0.14427761819620033,0.5907755702943359,-0.5822283242923684,BrokenRotorBar
0.023,-0.2558558671495679,0.7148860508072868,-0.5532874412185815,BrokenRotorBar
